Latitude,Longitude
19.07699342830602,72.87742347139766
19.0772953770762,72.88074605971282
19.075531693250554,72.87723172608611
19.079158425631014,72.87923486945832
19.07506105122813,72.87878512008717
19.075073164614377,72.87676854049286
19.076483924543133,72.87387343951069
19.072550164334974,72.87657542494152
19.07397433775933,72.8783284946652
19.07418395184896,72.87487539259733
19.078931297537842,72.87724844739903
19.076135056409377,72.87485050362758
19.07491123455095,72.87792184517943
19.073698012845156,72.8784513960367
19.074798722620162,72.87711661250042
19.07479658677554,72.88140455636902
19.075973005550523,72.8755845781421
19.077645089824205,72.87525831270007
19.07641772719001,72.87378065975224
19.073343627902204,72.87809372247175
19.077476933159993,72.87804273656238
19.075768703435223,72.87709779260882
19.073042956019265,72.87626031158321
19.07507872245808,72.87981424445245
19.076687236579136,72.87417391968928
19.07664816793879,72.87692983543917
19.07464615599939,72.87892335257769
19.07806199904499,72.87956256023824
19.074321564953554,72.8770815752483
19.07666252686281,72.87965109025424
19.07504165152431,72.87732868204668
19.07378733005199,72.87530758675184
19.077625051644787,72.88041248005715
19.075855979756838,72.87970706579578
19.076723272050096,72.87640976049079
19.07672279121102,72.88077607313294
19.07592834792178,72.88082928731163
19.07076050979182,72.87934380500876
19.076174094136476,72.87710198529908
19.076183521553073,72.8737248621708
19.089560656224325,72.86571422514302
19.092955788089483,72.86396345956345
19.088383012794214,72.86399648591282
19.091830804235403,72.86565750221932
19.088940479592466,72.86602653486622
19.090194155098697,72.86693728998107
19.088595893812244,72.8643446757068
19.089215783693735,72.86207297010372
19.09059224055413,72.86552211054436
19.090010226913286,72.86453082573324
19.0871692585159,72.86415870935447
19.089314570966945,72.86339544546155
19.089677428576667,72.86580810171363
19.09377237180242,72.86534915562567
19.090515100781445,72.86485110816847
19.0861624575694,72.8649469722491
19.090120460419882,72.86992648422496
19.089615278070436,72.86560309468466
19.08993057646059,72.86266264392475
19.09228564562903,72.86650386606537
19.091582063894087,72.8631812250904
19.09280558862187,72.8621962978744
19.0911737141876,72.86938091125161
19.08801892734974,72.86386740454078
19.090199302730174,72.86399304869177
19.086898673137867,72.8651371259496
19.08787539257255,72.86594718486127
19.088161151531533,72.86809986881003
19.088433493415327,72.86435587696758
19.09162703443474,72.86253827136713
19.09045491986921,72.86761428550857
19.086785033530877,72.86536926771706
19.090519765588496,72.86656364574355
19.087526098578245,72.86235908677382
19.091043883131235,72.86559396934646
19.060500985700692,72.890692896419
19.05863995055684,72.89046450739433
19.060586144946598,72.88857129716395
19.06373154902229,72.89094766584182
19.057617393005593,72.89131310721727
19.058050636659544,72.89157416920749
19.062317191158012,72.8883586353633
19.061926752258486,72.89082556185387
19.061644120319986,72.89379358596531
19.059509223767993,72.88849252767129
19.05822097114075,72.88836837943008
19.059845796581172,72.89068230394963
19.06055338159866,72.89165436649807
19.060026003783754,72.89290706815432
19.059470686333523,72.89544033833317
19.06125133469553,72.88828568488717
19.057858215003876,72.89096494483049
19.059553074429346,72.89142800098818
19.060946475249146,72.88985434217469
19.058306412563862,72.88697030555063
19.059106970095865,72.89171279758865
19.06042818748826,72.88750852244257
19.0603463618517,72.89077063475946
19.058232285127595,72.89030745021189
19.06011641743689,72.88771405940435
19.060715574720696,72.89112156905274
19.062166102486348,72.89210760410407
19.057244661264086,72.88812434992018
19.061030070534414,72.89102757190183
19.06103009537261,72.8977054629813
19.12,72.91
19.03,72.84
19.15,72.88
19.0,72.92
